ACCOUNTCHANGE|This keyword allows Change Account Number Wizard variables to be accessed by the specfile.|ACCOUNTCHANGE TARGET=ACCOUNT
ACS|This keyword allows the ACS specfile to access account cross-sell variables.|ACS TARGET=ACCOUNT
CARDCREATIONWIZARD|This keyword allows card variables to be accessed by the specfile defined in the Optional Specfile parameter in Card Creation Wizard Parameters.|CARDCREATIONWIZARD TARGET=ACCOUNT
CHECKDISBURSEDWIZARD|This keyword allows Corporate Check Wizard variables to be accessed by the specfile.|CHECKDISBURSEDWIZARD TARGET=ACCOUNT
COLLECTION|This keyword allows collection package variables to be accessed by the specfile to display additional information in the Collection Queue window.|COLLECTION TARGET=ACCOUNT
NEXTCARD|This keyword is a special character string used within PowerOn output.|SET NEXTCARD
NEXTCHECK|NEXTCHECK is a special keyword used with the CREATE command in batch specfile file maintenance to create a new Check record. Use this keyword to get the next available global sequence number.|CHECK NEXTCHECK CREATE
NEXTCOLLATERAL|NEXTCOLLATERAL is a special keyword used with the CREATE command in batch specfile file maintenance to create a new Collateral record. Use this keyword instead of a specific collateral number to get the next available|COLLATERAL NEXTCOLLATERAL CREATE
NEXTCTR|NEXTCTR is a special keyword used with the CREATE command in batch specfile file maintenance to create a new CTR record. Use this keyword instead of a specific CTR number to get the next available CTR number.|CTR NEXTCTR CREATE
NEXTDOCUMENT|NEXTDOCUMENT is a special keyword used with the CREATE command in batch specfile file maintenance to create a new Collateral Document record. Use this keyword instead of a specific document number to get the next available document number.|DOCUMENT NEXTDOCUMENT CREATE
NEXTMBRADDRESS|NEXTMBRADDRESS is a special keyword used with the CREATE command in batch specfile file maintenance to create a new member address record. Use this keyword instead of a specific number to get the next available address number.|CHECK NEXTMBRADDRESS CREATE
NEXTSEQUENCE|This predefined keyword is used in batch file maintenance specfiles to request the next wire sequence number when creating a new wire record.|WIRE NEXTSEQUENCE CREATE
TARGETFILE|This keyword must be used with FMPERFORM when the current file context is not the same as the file containing the record to be changed. When the current file context is the same as the file containing the record to be changed, this keyword is optional. While in a top-level record of one file, you can use FMPERFORM with the TARGETFILE option to create a top-level record and child records in another file.|FMPERFORM <FMType> TARGETFILE <RecordPath>

#INCLUDE|Includes a repGen file|#INCLUDE PROCEDURENAME
ACCESS|ACCESS in conjunction with PREFERENCE designates the Preference Access record in the Account file|PREFERENCE ACCESS:MNEMONIC
ACCOUNT|Designates account as record in the account file|ACCOUNT:MNEMONIC
ACROSS|Designates how many labels across|ACROSS=3
ACTIVITY|The purpose of the User Activity record is to store records of the user activity you select for tracking. ACTIVITY designates the User Activity record|ACTIVITY:CONSOLE
AFTERLAST|Locator keyword|LOC AFTERLAST
ALL|Instructs repGen to select all accounts|SELECT ALL END
AND|Boolean Operator|SHARE:CLOSEDATE='--/--/--' AND SHARE:TYPE=1
ANY|Boolean Function used in select|ANY SHARE WITH (SHARE:TYPE=1)
APPEND|When you use the FILEOPEN statement, you can open the file you want to access in a number of ways. Using the value APPEND allows you to add a file to the end of an existing file|"APPEND"
ARRAY|Instructs the repGen to create an array of type and size indicated|BEARSKIN=CHARACTER(69) ARRAY(99)
ASCII|Used with DATAFILE keyword to instruct data type for output of data|DATAFILE ASCII
ATMDIALOG|Defines ATM Diaolog the target file|TARGET=ATMDIALOG
AUDIO|Indicates that the repGen can be run by the Audio Response System|AUDIO
BEFOREFIRST|Locator Keyword|LOC BEFOREFIRST
BELL|Print control statement that makes the CRT beep once|PRINT "There's a BEAR!" BELL
BILL|Designates an EFT Bill Payment Record as the target|TARGET=BILL
BLINK|Print Control statement that makes the lettering flash on and off|BLINK PRINT "Captain Caveman!"
BLOCKSIZE|Used to specify the block size in a data file|BLOCKSIZE=314
BRIGHT|Print control statement that makes the lettering bright|BRIGHT COL=001 "Bob"
CALL|Instructs the repGen to go to a procedure|CALL SKINBEAR
CARD|Designates the Card Record to be the target|TARGET=CARD
CDMDIALOG|Designates the CDM Dialog to be the target file|TARGET=CDMDIALOG
CERTIFICATE|Used to print custom certificate agreements|CERTIFICATE TARGET=ACCOUNT
CHANGE|In FM output, used to designate a field to be changed|CHANGE NUMBER FROM 
CHECK|Designates the Check file as the target|TARGET=CHECK
CHECKORDER|Used with the SHARE or LOAN to designate record|TARGET = SHARE:CHECKORDER
CLEARSERVICE|Function used with FM to clear a service code|CHANGE CLEARSERVICE 6
CLEARWARNING|Function used with FM to clear a warning code|CHANGE CLEARWARNING 9
COL|Instructs the repGen to print beginning from the column specified|COL=69
COMMENT|Designates Comment record in the account file|COMMENT:MNEMONIC
CPQUEUE|Designates the Collection Package Queue record|CPQUEUE:MNEMONIC
CREATE|Used with FMPERFORMto create a record|CREATE TRACKING
CREDREP|Designates Credit Report record in the account file|TARGET=CREDREP
CREDREP ITEM|Designates the Credit Item in the account file|CREDREP ITEM:MNEMONIC
CUSTOMFORMS|Identifies a repGen used to print custom checks and receipts|CUSTOMFORMS TARGET=ACCOUNT
CUSTOMFORMSWINDOWS|Identifies a repGen used to print custom checks and receipts in a windows environment|CUSTOMFORMS WINDOWS TARGET=ACCOUNT
DATAFILE|Used to instruct repGen to create a data file|PRINT TITLE="CAVEMAN REPORT" DATAFILE
DATASIZE|Places data in data file|DATASIZE=10 STONEKNIVE
DATE|A date is a type of data that consists of two-digit numeric equivalents for the month and day, and two-digit or four-digit numeric equivalents for the year, separated by slashes or asterisks|DATEVAR=DATE
DEFINE|The DEFINE division of a specfile declares constants, variables, and arrays|DEFINE STONEKNIVE=CHARACTER
DELETE|To delete existing records, the record specification line uses the DELETE statement to determine which record to delete|DELETE SHARE
DEMAND|The optional subroutine modifier keyword DEMAND identifies a subroutine specfile as one that can be called from demand specfiles only|SUBROUTINE DEMAND
DIM|DIM is a print control statement that changes the screen display from bright back to dim, after you have used BRIGHT to display certain characters|DIM COL=20 SHARE:ID
DIVPROJECTCALC|The DIVPROJECTCALC statement instructs the Report Generator™ to perform an annual percentage yield (APY) and/or a dividend projection calculation|DIVPROJECTCALC
DO|DO...END is a statement that includes a list of multiple executable statements|DO CALL PROCEDURENAME END
EACH|INSTRUCTS REPGEN TO LOOK AT EVERY RECORD WITH ATTRIBUTE DEFINED|FOR EACH SHARE
EBCDIC|EBCDIC is an optional print specification used in conjunction with the DATAFILE print specification when you want the output of this specfile to be a data file sent in EBCDIC code|DATAFILE EBCDIC
EFT|EFT designates the EFT record in the Account file|TARGET=EFT
ELSE|If an IF condition is not met, use ELSE to perform another set of commands|ELSE IF SHARE:TYPE<>10 THEN
END|DO...END is a statement that includes a list of multiple executable statements|DO CALL PROCEDURENAME END
EVERY|EVERY # is a selection criterion that instructs the Report Generator™ to select every nth item from all the TARGET records that pass the other selection criteria|EVERY 15 STARTING WITH 5
FINANCE|LOANAPP FINANCE designates the Application Finance record in the Account file|TARGET= LOANAPP FINANCE
FLOAT|Float is a type of data that represents numbers expressed in scientific notation|BEARSKINS=FLOAT
FMHISTORY|FMHISTORY designates the FM History record in the Account file|FMHISTORY:MNEMONIC
FOR|FOR...DO...END is a statement that executes a loop a specified number of times|FOR COUNTER=1 TO MAX
FORMLENGTH|FORMLENGTH is a print option that indicates the length of the paper to use for the report|FORMLENGTH=69
GLACCOUNT|GLACCOUNT designates the GL Account record in the General Ledger file|TARGET=GLACCOUNT
GLHISTORY|GLHISTORY designates the GL History record in the General Ledger file|TARGET=GLHISTORY
GLPOSTEND|The GL Posting batch program allows General Ledger posting from Report Generator™ output, similar to the ability to post fees or insurance from Report Generator output|GLPOSTEND
GLPOSTSTART|The GL Posting batch program allows General Ledger posting from Report Generator™ output, similar to the ability to post fees or insurance from Report Generator output|GLPOSTSTART
GLSUBACCOUNT|GLSUBACCOUNT designates the GL Subaccount record in the General Ledger file|TARGET=GLSUBACCOUNT
HEADER|The HEADER print statement defines a single line of column headings and their horizontal placement for the Report Generator|HEADER=""
HEADERS|The HEADERS keyword marks the beginning of a subsection of output. It precedes print statements that create column headings for that subsection|HEADERS COL=001 "NAME" NEWLINE END
HOLD|HOLD in conjunction with the SHARE record type, LOAN record type, or PORTFOLIO record type designates the Share Hold, Loan Hold, or Portfolio Hold record in the Account file|TARGET=SHARE HOLD
HOMEBANKING|The HOMEBANKING keyword identifies specfiles written and installed for home banking that can now be run interactively using prompts for members to answer as they use the Report Generator|HOMEBANKING TARGET=RECORDTYPE
HOUSEHOLD|HOUSEHOLD designates the Household record in the Account file|TARGET=HOUSEHOLD
HTMLVIEWDISPLAY
HTMLVIEWOPEN
IF|IF...THEN and its variations are conditional statements that instructs the Report Generator™ to make an evaluation and follow a specific course of action depending on the result|IF KEN>69 THEN
INITCREDITREPORT|If your credit union has the optional Credit Retrieval System, you can use the two built-in Report Generator™ procedures, INITCREDITREPORT and PULLCREDITREPORT to queue custom requests to pull credit reports from a credit bureau|INITCREDITREPORT
INSERT|In specfiles that use FMPERFORM, you can insert an application that is being created or modified into a loan officer's Application Processing queue|INSERT INTO QUEUE
INTO|In specfiles that use FMPERFORM, you can insert an application that is being created or modified into a loan officer's Application Processing queue|INSERT INTO QUEUE
INVENTORY|INVENTORY designates the Inventory record in the Inventory file|TARGET=INVENTORY
INVOICE|INVOICE designates the Invoice record in the Accounts Payable file|TARGET=INVOICE
LABELS|The LABELS print option instructs the Report Generator™ to create four-up labels, sometimes referred to as Cheshire labels|PRINT TITLE="" LABELS
LANDSCAPE|LANDSCAPE is one of the available printer orientation options when using the HP Laser Control HPSETUP command|LANDSCAPE
LASTACCOUNT|References the account most recently used.|ACCOUNT LASTACCOUNT <rest of statement>
LASTCREATE|LASTCREATE is a special keyword you can use in batch specfile file maintenance to specify the Locator assigned to the last record created of the specified record type, or in the case of creating a new Account record, the last Account number created|ACCOUNT LASTCREATE
LASTSEQUENCE|This predefined keyword is used in batch file maintenance specfiles to specify the last wire sequence number that was file maintained.|WIRE LASTSEQUENCE <record path>
LEFT|The LEFT print statement option instructs the Report Generator™ to align a value in the left-most position starting at the specified column number|COL=10 LEFT NUMBERVALUE
LETTER|The LETTER division of a specfile contains the print instructions for a form letter or standard form|LETTER TITLE="Ken's Report"
LOAN|LOAN designates the Loan record in the Account file|LOAN:TYPE
LOANAPP|LOANAPP designates the Application record in the Account file|TARGET=LOANAPP
LOANPROJECTCALC|The LOANPROJECTCALC statement allows you to use the Report Generator™ to perform loan projection calculations equivalent to those produced using the Loan Projections function of the Projections work area and also produce the Loan Payoff inquiry equivalent to that produced from the Inquiries Into Member Accounts function of the Account Manager work area|LOANPROJECTCALC
